<TICKER>,<PER>,<DATE>,<TIME>,<LAST>,<VOL>
HPQ,0,20121115,123507,13.01000,600
HPQ,0,20121115,123507,13.01000,100
HPQ,0,20121115,123507,13.01000,100
HPQ,0,20121115,123507,13.01000,100
HPQ,0,20121115,123507,13.01000,700
HPQ,0,20121115,123521,13.02000,100
HPQ,0,20121115,123521,13.02000,119
HPQ,0,20121115,123521,13.02000,100
HPQ,0,20121115,123521,13.02000,100
HPQ,0,20121115,123521,13.02000,281
HPQ,0,20121115,123521,13.02000,100
HPQ,0,20121115,123521,13.02000,100
HPQ,0,20121115,123602,13.02500,100
HPQ,0,20121115,123801,13.02000,200
HPQ,0,20121115,123906,13.02000,192
HPQ,0,20121115,123906,13.02000,200
HPQ,0,20121115,123906,13.02000,100
HPQ,0,20121115,123906,13.02000,100
HPQ,0,20121115,123906,13.02000,100
HPQ,0,20121115,123906,13.02000,300
HPQ,0,20121115,123906,13.02000,300
HPQ,0,20121115,123906,13.02000,100
HPQ,0,20121115,123956,13.02000,392
HPQ,0,20121115,123956,13.02000,100
HPQ,0,20121115,123956,13.02000,200
HPQ,0,20121115,123956,13.02000,100
HPQ,0,20121115,123956,13.02000,100
HPQ,0,20121115,123956,13.02000,200
HPQ,0,20121115,123956,13.02000,708
HPQ,0,20121115,124027,13.02000,300
HPQ,0,20121115,124027,13.02000,200
HPQ,0,20121115,124027,13.02000,100
HPQ,0,20121115,124027,13.02000,100
HPQ,0,20121115,124027,13.02000,500
HPQ,0,20121115,124230,13.01500,100
HPQ,0,20121115,124230,13.01500,100
HPQ,0,20121115,124230,13.01000,500
HPQ,0,20121115,124230,13.01000,300
HPQ,0,20121115,124230,13.01000,200
HPQ,0,20121115,124230,13.01000,800
HPQ,0,20121115,124230,13.01000,200
HPQ,0,20121115,124230,13.01000,200
HPQ,0,20121115,124230,13.01000,500
HPQ,0,20121115,124230,13.01000,200
HPQ,0,20121115,124230,13.01000,100
HPQ,0,20121115,124230,13.01000,200
HPQ,0,20121115,124230,13.01000,700
HPQ,0,20121115,124230,13.01000,300
HPQ,0,20121115,124230,13.01000,100
HPQ,0,20121115,124230,13.01000,100
HPQ,0,20121115,124230,13.01000,800
HPQ,0,20121115,124230,13.01000,200
HPQ,0,20121115,124230,13.01000,100
HPQ,0,20121115,124230,13.01000,200
HPQ,0,20121115,124230,13.01000,100
HPQ,0,20121115,124230,13.01000,257
HPQ,0,20121115,124343,13.02000,400
HPQ,0,20121115,124343,13.02000,100
HPQ,0,20121115,124343,13.02000,100
HPQ,0,20121115,124343,13.02000,800
HPQ,0,20121115,124343,13.02000,1000
HPQ,0,20121115,124343,13.02000,300
HPQ,0,20121115,124343,13.02000,400
HPQ,0,20121115,124343,13.02000,100
HPQ,0,20121115,124343,13.02000,300
HPQ,0,20121115,124343,13.02000,200
HPQ,0,20121115,124343,13.02000,800
HPQ,0,20121115,124343,13.02000,1972
HPQ,0,20121115,124343,13.02000,380
HPQ,0,20121115,124343,13.02000,100
HPQ,0,20121115,124343,13.02000,229
HPQ,0,20121115,124407,13.02000,600
HPQ,0,20121115,124407,13.02000,800
HPQ,0,20121115,124407,13.02000,200
HPQ,0,20121115,124407,13.02000,200
HPQ,0,20121115,124407,13.02000,600
HPQ,0,20121115,124407,13.02000,100
HPQ,0,20121115,124407,13.02000,100
HPQ,0,20121115,124407,13.02000,200
HPQ,0,20121115,124407,13.02000,200
HPQ,0,20121115,124407,13.02000,400
HPQ,0,20121115,124617,13.01000,101
HPQ,0,20121115,124621,13.01000,199
HPQ,0,20121115,124621,13.01000,100
HPQ,0,20121115,124621,13.01000,100
HPQ,0,20121115,124621,13.01000,400
HPQ,0,20121115,124621,13.01000,100
HPQ,0,20121115,124621,13.01000,101
HPQ,0,20121115,124715,13.01000,100
